location,year,ageAtMarriageWomen
Afghanistan,1972,18.1
Afghanistan,2010,21.5
Afghanistan,2015,21.5
Albania,2000,23.9
Albania,2002,22.9
Albania,2005,24.6
Albania,2008,24.6
Albania,2017,24.200001
Algeria,1992,25.9
Algeria,2002,29.5
Algeria,2006,29.700001
Algeria,2012,28.200001
American Samoa,1974,23.299999
American Samoa,1990,25.700001
Angola,2001,20.299999
Angola,2015,21.5
Anguilla,2001,28.6
Antigua and Barbuda,1991,33.200001
Antigua and Barbuda,2001,25.700001
Argentina,1970,23.1
Argentina,1991,23.299999
Argentina,2001,24.6
Argentina,2010,24.6
Armenia,2000,22.200001
Armenia,2005,23
Armenia,2010,24.5
Armenia,2015,24.200001
Aruba,1981,25.5
Aruba,1991,26.200001
Aruba,2000,26.799999
Aruba,2010,28.5
Australia,1990,24.299999
Australia,1991,24.5
Australia,1992,24.700001
Australia,1993,24.799999
Australia,1994,25.1
Australia,1995,25.299999
Australia,1996,25.700001
Australia,1997,25.9
Australia,1998,26.200001
Australia,1999,26.4
Australia,2000,26.700001
Australia,2001,26.9
Australia,2002,27.1
Australia,2003,27.299999
Australia,2004,27.5
Australia,2005,27.6
Australia,2006,27.6
Australia,2007,27.6
Australia,2008,27.700001
Australia,2009,27.700001
Australia,2010,27.9
Australia,2011,28
Australia,2012,28.1
Australia,2013,28.299999
Australia,2014,28.4
Australia,2015,28.5
Australia,2016,28.700001
Australia,2017,28.799999
Austria,1990,25.200001
Austria,1991,25.4
Austria,1992,25.6
Austria,1993,25.799999
Austria,1994,26.1
Austria,1995,26.299999
Austria,1996,26.5
Austria,1997,26.799999
Austria,1998,26.9
Austria,1999,27.299999
Austria,2000,27.4
Austria,2001,27.5
Austria,2002,27.700001
Austria,2003,27.9
Austria,2004,28.200001
Austria,2005,28.6
Austria,2006,29.1
Austria,2007,29.299999
Austria,2008,29.5
Austria,2009,29.9
Austria,2011,30.299999
Austria,2012,30.6
Austria,2017,31.5
Azerbaijan,2012,24.299999
Azerbaijan,2013,24.299999
Azerbaijan,2014,24.299999
Azerbaijan,2015,24.299999
Azerbaijan,2016,24.200001
Azerbaijan,2017,24.200001
Bahamas,1970,22.4
Bahamas,1980,24.799999
Bahamas,1990,27.200001
Bahamas,2000,27.4
Bahamas,2010,27.9
Bahrain,1991,25.6
Bahrain,2001,26.299999
Bahrain,2010,26.9
Bangladesh,1975,16.700001
Bangladesh,1993,18.299999
Bangladesh,1996,18.6
Bangladesh,1999,18.799999
Bangladesh,2004,18.700001
Bangladesh,2006,18.700001
Bangladesh,2007,18.4
Bangladesh,2011,18.6
Bangladesh,2012,19.200001
