location,year,hoursPerWorker
Argentina,1950,2034
Argentina,1951,2037.8667
Argentina,1952,2041.7408
Argentina,1953,2045.6223
Argentina,1954,2049.5112
Argentina,1955,2053.4075
Argentina,1956,2057.311
Argentina,1957,2061.2222
Argentina,1958,2065.1406
Argentina,1959,2069.0667
Argentina,1960,2073
Argentina,1961,2066.2004
Argentina,1962,2059.4233
Argentina,1963,2052.6685
Argentina,1964,2045.9355
Argentina,1965,2039.2249
Argentina,1966,2032.5361
Argentina,1967,2025.8694
Argentina,1968,2019.2245
Argentina,1969,2012.6013
Argentina,1970,2006
Argentina,1971,2002.6611
Argentina,1972,1999.3278
Argentina,1973,1996
Argentina,1974,1992.8422
Argentina,1975,1989.6893
Argentina,1976,1986.5415
Argentina,1977,1983.3987
Argentina,1978,1980.2609
Argentina,1979,1977.1279
Argentina,1980,1974
Argentina,1981,1961.2301
Argentina,1982,1948.5427
Argentina,1983,1935.9375
Argentina,1984,1923.4137
Argentina,1985,1910.9711
Argentina,1986,1898.6089
Argentina,1987,1886.3267
Argentina,1988,1874.1238
Argentina,1989,1862
Argentina,1990,1850
Argentina,1991,1837.9608
Argentina,1992,1826
Argentina,1993,1850.3378
Argentina,1994,1875
Argentina,1995,1881.9612
Argentina,1996,1888.9481
Argentina,1997,1895.9611
Argentina,1998,1903
Argentina,1999,1887.285
Argentina,2000,1862.1362
Argentina,2001,1811.1526
Argentina,2002,1710.0365
Argentina,2003,1713.5746
Argentina,2004,1730.8173
Argentina,2005,1761.3994
Argentina,2006,1765.6013
Argentina,2007,1780.5565
Argentina,2008,1781.4246
Argentina,2009,1742.9043
Argentina,2010,1751.7655
Argentina,2011,1750.9741
Argentina,2012,1726.2584
Argentina,2013,1714.8711
Argentina,2014,1695.364
Argentina,2015,1691.5363
Argentina,2016,1691.5363
Argentina,2017,1691.5363
Australia,1950,2178.2456
Australia,1951,2158.1013
Australia,1952,2138.1436
Australia,1953,2118.3701
Australia,1954,2098.7798
Australia,1955,2079.3704
Australia,1956,2060.1406
Australia,1957,2041.0886
Australia,1958,2022.2129
Australia,1959,2003.5116
Australia,1960,1984.9834
Australia,1961,1981.3214
Australia,1962,1977.6663
Australia,1963,1974.0178
Australia,1964,1970.3761
Australia,1965,1966.7411
Australia,1966,1963.1128
Australia,1967,1959.4912
Australia,1968,1955.8762
Australia,1969,1952.2679
Australia,1970,1948.6664
Australia,1971,1929.967
Australia,1972,1909.5677
Australia,1973,1896.1807
Australia,1974,1913.4988
Australia,1975,1900.218
Australia,1976,1910.6301
Australia,1977,1912.4364
Australia,1978,1913.2864
Australia,1979,1918.705
Australia,1980,1919.1102
Australia,1981,1900.6442
Australia,1982,1881.5066
Australia,1983,1869.0269
Australia,1984,1883.6864
Australia,1985,1870.23
Australia,1986,1880.6699
Australia,1987,1877.5311
Australia,1988,1874.5796
Australia,1989,1887.2697
Australia,1990,1867.9515
Australia,1991,1853.8984
Australia,1992,1851.8408
Australia,1993,1869.6207
Australia,1994,1877.7278
Australia,1995,1875.9148
Australia,1996,1868.7593
Australia,1997,1867.0762
Australia,1998,1851.2338
Australia,1999,1855.8291
Australia,2000,1854.0353
Australia,2001,1818.213
Australia,2002,1814.1021
Australia,2003,1806.7209
Australia,2004,1805.0198
Australia,2005,1803.0101
Australia,2006,1791.9933
Australia,2007,1792.6515
Australia,2008,1790.54
Australia,2009,1761.7957
Australia,2010,1769.3094
Australia,2011,1768.6494
Australia,2012,1759.5193
Australia,2013,1755.8271
Australia,2014,1747.937
Australia,2015,1747.009
Australia,2016,1734.215
Australia,2017,1731.4943
Austria,1950,2085.6694
Austria,1951,2083.0156
Austria,1952,2080.3652
Austria,1953,2077.718
Austria,1954,2075.0742
Austria,1955,2072.4338
Austria,1956,2069.7966
Austria,1957,2067.1631
Austria,1958,2064.5327
Austria,1959,2061.9058
Austria,1960,2059.282
Austria,1961,2046.6298
Austria,1962,2034.0552
Austria,1963,2021.558
Austria,1964,2009.1375
Austria,1965,1996.7932
Austria,1966,1984.5249
Austria,1967,1972.3319
Austria,1968,1960.2139
Austria,1969,1948.1703
Austria,1970,1890.1375
Austria,1971,1885.288
Austria,1972,1905.7499
Austria,1973,1900.7313
Austria,1974,1978.6625
Austria,1975,1903.9717
Austria,1976,1898.0424
Austria,1977,1904.7831
Austria,1978,1844.0676
Austria,1979,1876.6804
Austria,1980,1881.0354
Austria,1981,1819.1412
Austria,1982,1835.1189
Austria,1983,1829.9122
Austria,1984,1825.9255
Austria,1985,1821.5303
Austria,1986,1820.7109
Austria,1987,1808.7163
Austria,1988,1812.1312
Austria,1989,1825.2433
Austria,1990,1826.0298
Austria,1991,1836.4442
Austria,1992,1804.9314
Austria,1993,1802.2981
Austria,1994,1800.5381
Austria,1995,1774.4364
Austria,1996,1807.2706
Austria,1997,1815.692
Austria,1998,1794.0305
Austria,1999,1797.9713
Austria,2000,1798.4323
Austria,2001,1785.4202
Austria,2002,1782.8479
Austria,2003,1773.9779
Austria,2004,1776.4658
Austria,2005,1752.4894
Austria,2006,1735.6696
Austria,2007,1724.7792
Austria,2008,1717.1951
Austria,2009,1673.0751
Austria,2010,1665.8439
Austria,2011,1671.6877
Austria,2012,1647.8529
Austria,2013,1632.0676
Austria,2014,1621.5658
Austria,2015,1598.8944
Austria,2016,1609.3523
Austria,2017,1613.0519
Bangladesh,1970,2071.4104
Bangladesh,1971,2075.1843
Bangladesh,1972,2078.1372
Bangladesh,1973,2079.9597
Bangladesh,1974,2081.0764
Bangladesh,1975,2085.5564
Bangladesh,1976,2087.4951
Bangladesh,1977,2089.5979
Bangladesh,1978,2092.1418
Bangladesh,1979,2095.2627
Bangladesh,1980,2099.0146
Bangladesh,1981,2103.7871
Bangladesh,1982,2117.376
Bangladesh,1983,2130.7109
Bangladesh,1984,2143.5508
Bangladesh,1985,2111.8611
Bangladesh,1986,2083.7917
Bangladesh,1987,2066.4663
Bangladesh,1988,2052.2288
Bangladesh,1989,2040.8845
Bangladesh,1990,2122.0144
Bangladesh,1991,2204.1492
Bangladesh,1992,2182.9199
Bangladesh,1993,2162.833
Bangladesh,1994,2143.9639
Bangladesh,1995,2126.3477
Bangladesh,1996,2111.6362
Bangladesh,1997,2141.6018
Bangladesh,1998,2169.1011
Bangladesh,1999,2194.2813
Bangladesh,2000,2216.7761
Bangladesh,2001,2129.5923
Bangladesh,2002,2044.2791
Bangladesh,2003,1960.5166
Bangladesh,2004,2061.4739
Bangladesh,2005,2160.9841
Bangladesh,2006,2259.6313
Bangladesh,2007,2245.3359
Bangladesh,2008,2239.2898
Bangladesh,2009,2241.0042
Bangladesh,2010,2250.1528
Bangladesh,2011,2311.7678
