location,year,crudeDivorceRatePer1000
Albania,1960,0.5
Albania,1961,0.80000001
Albania,1962,0.69999999
Albania,1963,0.60000002
Albania,1964,0.60000002
Albania,1965,0.60000002
Albania,1966,0.60000002
Albania,1967,0.69999999
Albania,1968,0.89999998
Albania,1969,0.80000001
Albania,1970,0.80000001
Albania,1971,0.80000001
Albania,1972,0.80000001
Albania,1973,0.80000001
Albania,1974,0.80000001
Albania,1975,0.80000001
Albania,1976,0.80000001
Albania,1977,0.80000001
Albania,1978,0.69999999
Albania,1979,0.69999999
Albania,1980,0.80000001
Albania,1981,0.80000001
Albania,1982,0.80000001
Albania,1983,0.80000001
Albania,1984,0.80000001
Albania,1985,0.80000001
Albania,1986,0.80000001
Albania,1987,0.80000001
Albania,1988,0.80000001
Albania,1989,0.80000001
Albania,1990,0.80000001
Albania,1991,0.69999999
Albania,1992,0.69999999
Albania,1993,0.69999999
Albania,1994,0.69999999
Albania,1995,0.69999999
Albania,1996,0.60000002
Albania,1997,0.40000001
Albania,1998,0.60000002
Albania,1999,0.69999999
Albania,2000,0.69999999
Albania,2001,0.80000001
Albania,2002,1.1
Albania,2003,1.2
Albania,2004,0.89999998
Albania,2005,1.3
Albania,2006,1.3
Albania,2007,1
Albania,2008,1.1
Albania,2014,1.5
Albania,2015,1.3
Albania,2016,1.9
Albania,2017,1.6
Algeria,1963,0.40000001
American Samoa,1970,0.89999998
American Samoa,1987,1.1
American Samoa,1993,0.5
American Samoa,2005,1.3
American Samoa,2006,1.3
Angola,1970,0
Angola,1974,0
Anguilla,1985,0.80000001
Anguilla,2004,1.5
Anguilla,2005,1.6
Antigua and Barbuda,1971,0.80000001
Antigua and Barbuda,1985,0.60000002
Antigua and Barbuda,1995,0.40000001
Armenia,1970,1
Armenia,1985,1.1
Armenia,1995,0.69999999
Armenia,2004,0.60000002
Armenia,2005,0.80000001
Armenia,2006,0.89999998
Armenia,2007,0.89999998
Armenia,2008,0.89999998
Armenia,2009,0.89999998
Armenia,2010,0.89999998
Armenia,2011,1
Armenia,2015,1.2
Armenia,2016,1.2
Aruba,1974,1.9
Aruba,1985,2.8
Aruba,1995,3.0999999
Aruba,2005,4.4000001
Aruba,2006,5.0999999
Australia,1970,1
Australia,1980,2.7
Australia,1981,2.8
Australia,1982,2.9000001
Australia,1983,2.8
Australia,1984,2.8
Australia,1985,2.5
Australia,1986,2.5
Australia,1987,2.4000001
Australia,1988,2.5
Australia,1989,2.5
Australia,1990,2.5
Australia,1991,2.5999999
Australia,1992,2.5999999
Australia,1993,2.7
Australia,1994,2.7
Australia,1995,2.8
Australia,1996,2.9000001
Australia,1997,2.8
Australia,1998,2.7
Australia,1999,2.8
Australia,2000,2.5999999
Australia,2001,2.8
Australia,2002,2.7
Australia,2003,2.7
Australia,2004,2.5999999
Australia,2005,2.5999999
Australia,2006,2.5
Australia,2007,2.3
Australia,2008,2.2
Australia,2009,2.3
Australia,2010,2.3
Australia,2011,2.2
Australia,2012,2.2
Australia,2013,2.0999999
Australia,2014,2
Australia,2015,2
Australia,2016,1.9
Australia,2017,2
Austria,1960,1.1
Austria,1961,1.1
Austria,1962,1.1
Austria,1963,1.1
Austria,1964,1.2
Austria,1965,1.2
Austria,1966,1.2
Austria,1967,1.2
Austria,1968,1.3
Austria,1969,1.3
Austria,1970,1.4
Austria,1971,1.3
Austria,1972,1.3
Austria,1973,1.3
Austria,1974,1.4
Austria,1975,1.4
Austria,1976,1.5
Austria,1977,1.5
Austria,1978,1.6
Austria,1979,1.7
Austria,1980,1.8
Austria,1981,1.8
Austria,1982,1.9
Austria,1983,1.9
Austria,1984,2
Austria,1985,2
Austria,1986,1.9
Austria,1987,1.9
Austria,1988,2
Austria,1989,2
Austria,1990,2.0999999
Austria,1991,2.0999999
Austria,1992,2.0999999
Austria,1993,2.0999999
Austria,1994,2.0999999
Austria,1995,2.3
Austria,1996,2.3
Austria,1997,2.3
Austria,1998,2.2
Austria,1999,2.3
Austria,2000,2.4000001
Austria,2001,2.5999999
Austria,2002,2.5
Austria,2003,2.3
Austria,2004,2.4000001
Austria,2005,2.4000001
Austria,2006,2.5
Austria,2007,2.5
Austria,2008,2.4000001
Austria,2009,2.3
Austria,2010,2.0999999
Austria,2011,2.0999999
Austria,2012,2
Austria,2013,1.9
Austria,2014,1.9
Austria,2015,1.9
Austria,2016,1.8
Austria,2017,1.8
Azerbaijan,1970,1.3
Azerbaijan,1985,1.2
Azerbaijan,1995,0.69999999
Azerbaijan,2004,0.80000001
Azerbaijan,2005,1.1
Azerbaijan,2006,0.89999998
Azerbaijan,2007,1
Azerbaijan,2008,0.89999998
Azerbaijan,2009,0.89999998
Azerbaijan,2010,1
Azerbaijan,2011,1.2
Azerbaijan,2012,1.2
Azerbaijan,2013,1.2
Azerbaijan,2014,1.3
Azerbaijan,2015,1.3
Azerbaijan,2016,1.3
Azerbaijan,2017,1.5
Bahamas,1975,0.5
Bahamas,1985,1.5
Bahamas,1995,1.3
Bahamas,2005,2.0999999
Bahamas,2006,2.0999999
Bahrain,1976,1.3
Bahrain,1985,1.1
Bahrain,1995,1.2
Bahrain,2005,1.5
Bahrain,2006,1.5
Barbados,1970,0.40000001
Barbados,1985,1.2
Barbados,1995,1.5
Belarus,1970,1.9
Belarus,1985,3.0999999
Belarus,1995,4.0999999
Belarus,2004,3
Belarus,2005,3.0999999
Belarus,2006,3.3
Belarus,2007,3.7
Belarus,2008,3.8
Belarus,2009,3.7
Belarus,2010,3.9000001
Belarus,2011,4.0999999
Belarus,2012,4.0999999
Belarus,2013,3.8
Belarus,2014,3.7
Belarus,2015,3.5
Belarus,2016,3.4000001
Belarus,2017,3.4000001
Belgium,1960,0.5
Belgium,1961,0.5
Belgium,1962,0.5
Belgium,1963,0.60000002
Belgium,1964,0.60000002
Belgium,1965,0.60000002
Belgium,1966,0.60000002
Belgium,1967,0.60000002
Belgium,1968,0.60000002
Belgium,1969,0.69999999
Belgium,1970,0.69999999
Belgium,1971,0.69999999
Belgium,1972,0.80000001
Belgium,1973,0.89999998
Belgium,1974,1
Belgium,1975,1.1
Belgium,1976,1.3
Belgium,1977,1.3
Belgium,1978,1.4
Belgium,1979,1.4
Belgium,1980,1.5
Belgium,1981,1.6
Belgium,1982,1.6
Belgium,1983,1.7
Belgium,1984,1.9
Belgium,1985,1.9
Belgium,1986,1.9
Belgium,1987,2
Belgium,1988,2.0999999
Belgium,1989,2
Belgium,1990,2
Belgium,1991,2.0999999
Belgium,1992,2.2
Belgium,1993,2.0999999
Belgium,1994,2.2
Belgium,1995,3.5
Belgium,1996,2.8
Belgium,1997,2.5999999
Belgium,1998,2.5999999
Belgium,1999,2.5999999
Belgium,2000,2.5999999
Belgium,2001,2.8
Belgium,2002,3
Belgium,2003,3
Belgium,2004,3
Belgium,2005,2.9000001
Belgium,2006,2.8
Belgium,2007,2.8
Belgium,2008,3.3
Belgium,2009,3
Belgium,2010,2.7
Belgium,2011,2.5
Belgium,2012,2.3
Belgium,2013,2.2
Belgium,2014,2.2
Belgium,2015,2.2
Belgium,2016,2.0999999
Belgium,2017,2
Belize,1968,0.1
Belize,1985,0.40000001
Belize,1995,0.60000002
Belize,2001,0.1
Belize,2002,0.2
Bermuda,1970,2.7
Bermuda,1985,3.7
Bermuda,1995,3.7
Bermuda,2005,3.4000001
Bermuda,2006,2.8
Bosnia and Herzegovina,1970,0.89999998
Bosnia and Herzegovina,1985,0.69999999
Bosnia and Herzegovina,1997,0.5
Bosnia and Herzegovina,2004,0.40000001
Bosnia and Herzegovina,2005,0.5
Bosnia and Herzegovina,2006,0.40000001
Bosnia and Herzegovina,2007,0.5
Bosnia and Herzegovina,2008,0.40000001
Bosnia and Herzegovina,2009,0.40000001
Bosnia and Herzegovina,2010,0.40000001
Bosnia and Herzegovina,2012,0.60000002
Botswana,2001,6.9000001
Brazil,1985,0.30000001
Brazil,1995,0.60000002
Brazil,2005,0.80000001
Brazil,2006,0.89999998
British Virgin Islands,1971,0.30000001
British Virgin Islands,1985,1.2
British Virgin Islands,1997,1.6
British Virgin Islands,2003,3.5999999
British Virgin Islands,2004,2.8
Brunei,1970,0.40000001
Brunei,1985,0.69999999
Brunei,1996,1.2
Brunei,2003,1
Brunei,2004,1.1
Bulgaria,1961,1.1
Bulgaria,1962,1
Bulgaria,1963,1
Bulgaria,1964,1.1
Bulgaria,1965,1.1
Bulgaria,1966,1
Bulgaria,1967,1.2
Bulgaria,1968,1.2
Bulgaria,1969,1.1
Bulgaria,1970,1.2
Bulgaria,1971,1.1
Bulgaria,1972,1.2
Bulgaria,1973,1.3
Bulgaria,1974,1.3
Bulgaria,1975,1.3
Bulgaria,1976,1.3
Bulgaria,1977,1.5
Bulgaria,1978,1.4
Bulgaria,1979,1.4
Bulgaria,1980,1.5
Bulgaria,1981,1.5
Bulgaria,1982,1.5
Bulgaria,1983,1.6
Bulgaria,1984,1.5
Bulgaria,1985,1.6
Bulgaria,1986,1.1
Bulgaria,1987,1.3
Bulgaria,1988,1.4
Bulgaria,1989,1.4
Bulgaria,1990,1.3
Bulgaria,1991,1.3
Bulgaria,1992,1.1
Bulgaria,1993,0.89999998
Bulgaria,1994,0.89999998
Bulgaria,1995,1.3
Bulgaria,1996,1.2
Bulgaria,1997,1.1
Bulgaria,1998,1.3
Bulgaria,1999,1.2
Bulgaria,2000,1.3
Bulgaria,2001,1.3
Bulgaria,2002,1.3
Bulgaria,2003,1.5
Bulgaria,2004,1.9
Bulgaria,2005,1.9
Bulgaria,2006,2
Bulgaria,2007,2.2
Bulgaria,2008,1.9
Bulgaria,2009,1.6
Bulgaria,2010,1.5
Bulgaria,2011,1.4
Bulgaria,2012,1.6
Bulgaria,2013,1.5
Bulgaria,2014,1.5
Bulgaria,2015,1.5
Bulgaria,2016,1.5
Bulgaria,2017,1.5
Canada,1970,1.4
Canada,1980,2.5
Canada,1981,2.7
Canada,1982,2.8
Canada,1983,2.7
Canada,1984,2.5999999
Canada,1985,2.4000001
Canada,1986,3
Canada,1987,3.5999999
Canada,1988,3.0999999
Canada,1989,3
Canada,1990,2.8
Canada,1991,2.8
Canada,1992,2.8
Canada,1993,2.7
Canada,1994,2.7
Canada,1995,2.7
Canada,1996,2.4000001
Canada,1997,2.3
Canada,1998,2.3
Canada,1999,2.3
Canada,2000,2.3
Canada,2001,2.3
Canada,2002,2.2
Canada,2003,2.2
Canada,2004,2.2
Canada,2005,2.2
Canada,2006,2.3
Canada,2007,2.2
Canada,2008,2.0999999
Cape Verde,1970,0.1
Cayman Islands,1970,2.0999999
Cayman Islands,1989,3
Cayman Islands,1994,2.2
Cayman Islands,2005,3
Cayman Islands,2006,3
Channel Islands,1971,1.5
Channel Islands,1985,2.4000001
Channel Islands,1995,3.0999999
Channel Islands,1999,2.9000001
Channel Islands,2000,3
Chile,1995,0.5
Chile,1996,0.40000001
Chile,1997,0.40000001
Chile,1998,0.40000001
Chile,1999,0.40000001
Chile,2006,0.2
Chile,2007,0.1
Chile,2008,0.1
Chile,2009,0.1
Chile,2010,0.1
China,1978,0.30000001
China,1985,0.40000001
China,1995,0.89999998
China,2005,1.4
China,2006,1.5
Colombia,1993,0.1
Colombia,1994,0.1
Colombia,2006,0.1
Colombia,2007,0.2
Comoros,1964,1.1
Cook Islands,1971,0.69999999
Cook Islands,1976,0.40000001
Costa Rica,1970,0.1
Costa Rica,1987,1.1
Costa Rica,1995,1.5
Costa Rica,2005,2.3
Costa Rica,2006,2.0999999
Costa Rica,2010,2.5
Costa Rica,2012,2.5
Costa Rica,2013,2.8
Costa Rica,2014,2.3
Costa Rica,2015,2.0999999
Costa Rica,2016,2.7
Costa Rica,2017,2.5999999
Cote d'Ivoire,1998,3.4000001
Croatia,1960,1.2
Croatia,1961,1.2
Croatia,1962,1.2
Croatia,1963,1.2
Croatia,1964,1.2
Croatia,1965,1.3
Croatia,1966,1.3
Croatia,1967,1.1
Croatia,1968,1.1
Croatia,1969,1.2
Croatia,1970,1.2
Croatia,1971,1.2
Croatia,1972,1.3
Croatia,1973,1.3
Croatia,1974,1.4
Croatia,1975,1.3
Croatia,1976,1.3
Croatia,1977,1.2
Croatia,1978,1.3
Croatia,1979,1.1
Croatia,1980,1.2
Croatia,1981,1.2
Croatia,1982,1.2
Croatia,1983,1.1
Croatia,1984,1.1
Croatia,1985,1.1
Croatia,1986,1.3
Croatia,1987,1.2
Croatia,1988,1.2
Croatia,1989,1.1
Croatia,1990,1.1
Croatia,1991,1
Croatia,1992,0.80000001
Croatia,1993,1
Croatia,1994,1
Croatia,1995,0.89999998
Croatia,1996,0.80000001
Croatia,1997,0.89999998
Croatia,1998,0.89999998
Croatia,1999,0.80000001
Croatia,2000,1
Croatia,2001,1.1
Croatia,2002,1
Croatia,2003,1.1
Croatia,2004,1.2
Croatia,2005,1.1
Croatia,2006,1.1
Croatia,2007,1.1
Croatia,2008,1.2
Croatia,2009,1.2
Croatia,2010,1.2
Croatia,2011,1.3
Croatia,2012,1.3
Croatia,2013,1.4
Croatia,2014,1.4
Croatia,2015,1.4
Croatia,2016,1.7
Croatia,2017,1.5
Cuba,1970,2.9000001
Cuba,1985,2.9000001
Cuba,1995,3.7
Cuba,2005,3.0999999
Cuba,2006,3.2
