location,year,SmallpoxCases
Afghanistan,1949,393
Afghanistan,1950,612
Afghanistan,1951,1299
Afghanistan,1952,2179
Afghanistan,1953,1813
Afghanistan,1954,1767
Afghanistan,1955,1411
Afghanistan,1956,1002
Afghanistan,1957,226
Afghanistan,1958,306
Afghanistan,1959,442
Afghanistan,1960,109
Afghanistan,1961,178
Afghanistan,1962,288
Afghanistan,1963,577
Afghanistan,1964,178
Afghanistan,1965,72
Afghanistan,1966,66
Afghanistan,1967,211
Afghanistan,1968,739
Afghanistan,1969,204
Afghanistan,1970,1044
Afghanistan,1971,736
Afghanistan,1972,236
Afghanistan,1973,25
Afghanistan,1974,0
Afghanistan,1975,0
Afghanistan,1976,0
Afghanistan,1977,0
Africa,1967,15263
Africa,1968,10951
Africa,1969,3392
Africa,1970,3161
Africa,1971,27262
Africa,1972,18902
Africa,1973,5441
Africa,1974,4436
Africa,1975,3894
Africa,1976,954
Africa,1977,3234
Algeria,1920,1172
Algeria,1921,755
Algeria,1922,184
Algeria,1923,141
Algeria,1924,483
Algeria,1925,1747
Algeria,1926,2473
Algeria,1927,4336
Algeria,1928,383
Algeria,1929,191
Algeria,1930,30
Algeria,1931,21
Algeria,1932,17
Algeria,1933,14
Algeria,1934,19
Algeria,1935,19
Algeria,1936,101
Algeria,1937,15
Algeria,1938,13
Algeria,1939,6
Algeria,1940,11
Algeria,1941,1029
Algeria,1942,1164
Algeria,1943,1655
Algeria,1944,1188
Algeria,1945,334
Algeria,1946,565
Algeria,1947,533
Algeria,1948,422
Algeria,1949,314
Algeria,1950,146
Algeria,1951,102
Algeria,1952,86
Algeria,1953,56
Algeria,1954,67
Algeria,1955,73
Algeria,1956,18
Algeria,1957,8
Algeria,1958,15
Algeria,1959,11
Algeria,1960,7
Algeria,1961,8
Algeria,1962,1
Algeria,1963,5
Algeria,1964,0
Angola,1927,174
Angola,1928,67
Angola,1929,95
Angola,1930,1107
Angola,1931,1408
Angola,1932,848
Angola,1933,371
Angola,1934,693
Angola,1935,408
Angola,1936,640
Angola,1937,198
Angola,1938,451
Angola,1939,465
Angola,1940,1100
Angola,1941,1650
Angola,1942,473
Angola,1943,652
Angola,1944,80
Angola,1945,129
Angola,1946,198
Angola,1947,288
Angola,1948,605
Angola,1949,510
Angola,1950,621
Angola,1951,236
Angola,1952,191
Angola,1953,138
Angola,1954,135
Angola,1955,122
Angola,1956,113
Angola,1957,11
Angola,1958,138
Angola,1959,7
Angola,1960,0
Angola,1961,0
Angola,1962,23
Angola,1963,50
Angola,1964,1
Angola,1965,0
Angola,1966,3
Argentina,1936,545
Argentina,1937,80
Argentina,1938,53
Argentina,1939,19
Argentina,1940,0
Argentina,1941,0
Argentina,1942,120
Argentina,1943,6
Argentina,1944,41
Argentina,1945,0
Argentina,1946,71
Argentina,1947,46
Argentina,1948,140
Argentina,1949,500
Argentina,1950,4788
Argentina,1951,1404
Argentina,1952,982
Argentina,1953,309
Argentina,1954,256
Argentina,1955,55
Argentina,1956,86
Argentina,1957,335
Argentina,1958,27
Argentina,1967,23
Argentina,1968,0
Argentina,1969,0
Argentina,1970,24
Argentina,1971,0
Argentina,1972,0
Argentina,1973,0
Argentina,1974,0
Argentina,1975,0
Argentina,1976,0
Argentina,1977,0
Asia,1967,102454
Asia,1968,64739
Asia,1969,34853
Asia,1970,28209
Asia,1971,24601
Asia,1972,45342
Asia,1973,130108
Asia,1974,212311
Asia,1975,0
Asia,1976,0
Asia,1977,0
Austria,1920,253
Austria,1921,18
Austria,1922,4
Austria,1923,17
Austria,1924,1
Austria,1925,0
Austria,1926,0
Austria,1927,0
Austria,1928,0
Austria,1929,2
Austria,1930,0
Austria,1931,0
Austria,1932,0
Austria,1933,0
Austria,1934,0
Austria,1935,0
Austria,1936,0
Austria,1937,0
Austria,1938,0
Austria,1939,0
Austria,1940,0
Austria,1941,0
Austria,1942,0
Austria,1943,0
Austria,1944,0
Austria,1945,0
Austria,1946,2
Austria,1947,0
Austria,1948,0
Austria,1949,0
Austria,1950,0
Austria,1951,0
Austria,1952,0
Austria,1953,0
Austria,1954,0
Austria,1955,0
Austria,1956,0
Austria,1957,0
Austria,1958,0
Bangladesh,1950,21273
Bangladesh,1951,38871
Bangladesh,1952,10490
Bangladesh,1953,1102
Bangladesh,1954,445
Bangladesh,1955,1926
Bangladesh,1956,4962
Bangladesh,1957,24920
Bangladesh,1958,79060
Bangladesh,1959,15048
Bangladesh,1960,1905
Bangladesh,1961,660
Bangladesh,1962,610
Bangladesh,1963,3375
Bangladesh,1964,69
Bangladesh,1965,316
Bangladesh,1966,3207
Bangladesh,1967,6377
Bangladesh,1968,9255
Bangladesh,1969,1656
Bangladesh,1971,0
Bangladesh,1972,10754
Bangladesh,1973,32711
Bangladesh,1974,16485
Bangladesh,1975,13798
Bangladesh,1976,0
Bangladesh,1977,0
Belgium,1920,91
Belgium,1921,21
Belgium,1922,23
Belgium,1923,31
Belgium,1924,31
Belgium,1925,12
Belgium,1926,13
Belgium,1927,0
Belgium,1928,1
Belgium,1929,0
Belgium,1930,0
Belgium,1931,0
Belgium,1932,0
Belgium,1933,2
Belgium,1934,0
Belgium,1935,0
Belgium,1936,0
Belgium,1937,0
Belgium,1938,0
Belgium,1939,0
Belgium,1940,0
Belgium,1941,0
Belgium,1942,0
Belgium,1943,1
Belgium,1944,0
Belgium,1945,0
Belgium,1946,0
Belgium,1947,29
Belgium,1948,1
Belgium,1949,1
Belgium,1950,0
Belgium,1951,0
Belgium,1952,0
Belgium,1953,0
Belgium,1954,0
Belgium,1955,3
Belgium,1956,0
